AirportCode,FlightNum,ScheduledDepature,ActualDeparture,Destination,Distance miles,ScheduledArrival,ActualArrival,DepartureTerminal,RunwayNum,WeatherConditions
LHR,FR236,0:00,0:00,AMS,230,1:20,1:20,5,2,18°C clear
LHR,U2364,0:03,0:03,CDG,216,1:23,1:21,5,2,18°C clear
LHR,SK101,0:05,0:05,BCN,713,2:15,2:16,2,2,18°C clear
LHR,BA296,0:12,0:27,AMS,230,1:32,1:47,5,2,18°C clear
LHR,AF950,0:13,0:13,CDG,216,1:33,1:33,3,2,18°C clear
LHR,TP472,0:14,0:14,FRA,407,1:49,1:49,2,2,18°C clear
LHR,IB842,0:15,0:15,CDG,216,1:35,1:29,2,1,18°C clear
LHR,AF585,0:15,0:15,AMS,230,1:35,1:33,4,1,18°C clear
LHR,U2679,0:17,0:41,IST,1550,4:12,4:36,4,1,18°C clear
LHR,AY144,0:17,0:27,FCO,898,2:52,3:02,5,1,18°C clear
LHR,BA678,0:18,0:18,FRA,407,1:53,1:53,5,1,18°C clear
LHR,U2837,0:19,0:19,FCO,898,2:54,2:54,4,2,18°C clear
LHR,FR241,0:24,0:24,BCN,713,2:34,2:34,4,2,18°C clear
LHR,AF952,0:25,0:25,BCN,713,2:35,2:35,5,2,18°C clear
LHR,BA198,0:26,0:26,FCO,898,3:01,3:01,4,1,18°C clear
LHR,U2278,0:28,0:42,CDG,216,1:48,2:02,5,2,18°C clear
LHR,U2914,0:29,0:29,FRA,407,2:04,2:04,5,2,18°C clear
LHR,KL250,0:35,5:03,IST,1550,4:30,8:52,3,1,18°C clear
LHR,AF726,0:36,0:36,IST,1550,4:31,4:31,2,2,18°C clear
LHR,LH190,0:38,0:38,IST,1550,4:33,4:33,2,2,18°C clear
LHR,AY892,0:52,1:13,FCO,898,3:27,3:48,3,1,18°C clear
LHR,U2634,0:55,0:55,LIS,975,3:40,3:38,5,1,18°C clear
LHR,U2489,0:55,0:55,AMS,230,2:15,2:15,5,2,18°C clear
LHR,BA447,0:59,1:09,FRA,407,2:34,2:35,2,1,18°C clear
LHR,FR680,0:59,1:10,MUC,586,2:54,3:05,2,1,18°C clear
